user_id,merchant_name,amount,timestamp,category
user_0143,Paytabs,265.2,2025-08-06T21:34:22.478631,shopping
user_0010,Reliance Digital,306.74,2025-09-02T18:34:22.478726,shopping
user_0038,Neogrowth,1119.13,2025-09-07T22:34:22.478790,investment
user_0113,Cloth Store,2092.37,2025-09-14T17:34:22.478844,shopping
user_0172,Amritsari Kulcha,209.48,2025-09-18T13:34:22.478897,food
user_0083,Lakme Salon Products,296.42,2025-09-02T14:34:22.478946,shopping
user_0003,Jawed Habib,922.16,2025-09-05T18:34:22.478993,shopping
user_0095,Nashik Indian Oil Pump,69.29,2025-06-28T11:34:22.479041,transport
user_0099,Saree Shop,652.24,2025-09-07T10:34:22.479083,shopping
user_0100,D-vois Broadband,1187.82,2025-07-28T16:34:22.479131,utilities
user_0143,Shoe Store,1283.4,2025-06-27T15:34:22.479179,shopping
user_0185,Uber,55.38,2025-08-10T05:34:22.479224,transport
user_0132,Smc Global,256.07,2025-09-03T09:34:22.479265,investment
user_0125,Gas Bill,2321.21,2025-08-03T20:34:22.479307,utilities
user_0122,HDFC Life,641.53,2025-08-11T19:34:22.479346,investment
user_0170,Sports Bar,3937.17,2025-08-25T00:34:22.479389,shopping
user_0155,Gadget World,479.99,2025-08-27T06:34:22.479429,shopping
user_0088,Delhi Jal Board,161.41,2025-08-25T04:34:22.479470,other
user_0089,Gaming Store,1198.6,2025-07-18T20:34:22.479511,shopping
user_0150,ICICI Fastag,348.7,2025-08-25T03:34:22.479551,transport
user_0032,Delhi Nayara Petrol Pump,325.99,2025-08-27T06:34:22.479591,transport
user_0079,Meat Shop,140.73,2025-07-09T00:34:22.479630,shopping
user_0092,Times Now,135.33,2025-07-07T00:34:22.479670,entertainment
user_0165,Payworld,100.02,2025-08-06T12:34:22.479709,investment
user_0082,Electrical Store,131.75,2025-07-09T15:34:22.479748,shopping
user_0187,Pet Shop,304.07,2025-07-13T13:34:22.479787,shopping
user_0178,Gametheory,1174.85,2025-06-25T08:34:22.479830,entertainment
user_0142,Vision Express,213.55,2025-09-04T07:34:22.479870,shopping
user_0011,Faballey,269.14,2025-06-23T16:34:22.479912,shopping
user_0088,Momos Stall,186.36,2025-06-28T01:34:22.479950,food
user_0128,Asianet Digital Tv,1958.78,2025-09-05T21:34:22.479988,utilities
user_0154,Kotak Life,303.8,2025-07-24T19:34:22.480026,investment
user_0171,Bank Of Maharashtra,403.63,2025-08-28T11:34:22.480064,investment
user_0194,Tea Junction,267.71,2025-06-26T02:34:22.480102,food
user_0162,Jabong,119.11,2025-06-29T18:34:22.480140,shopping
user_0167,Cry,335.09,2025-07-26T22:34:22.480177,other
user_0156,Museum Ticket,10.0,2025-09-14T17:34:22.480216,transport
user_0088,Decathlon,2866.11,2025-07-25T16:34:22.480254,shopping
user_0113,Smoothie Bar,318.91,2025-09-04T05:34:22.480292,food
user_0109,New Poona Bakery,2071.09,2025-08-07T17:34:22.480330,shopping
user_0072,Delhi Metro Rail,22.9,2025-08-23T17:34:22.480367,transport
user_0012,Fast Track Cabs,49.84,2025-08-05T06:34:22.480405,transport
user_0016,Somnath Trust,53.34,2025-09-03T01:34:22.480442,other
user_0014,Go Karting,74.09,2025-07-22T06:34:22.480480,entertainment
user_0041,Kotak Securities,187.04,2025-06-23T10:34:22.480518,investment
user_0100,Phoenix Mall,6199.22,2025-08-14T05:34:22.480554,shopping
user_0131,Savaari,34.26,2025-07-22T23:34:22.480591,transport
user_0034,Planet Sports,88.08,2025-07-28T18:34:22.480628,shopping
user_0159,Faballey,80.49,2025-08-10T00:34:22.480665,shopping
user_0119,Vakilsearch,1515.87,2025-09-07T16:34:22.480702,shopping
user_0020,Moti Mahal,1287.04,2025-08-12T07:34:22.480739,food
user_0049,Bowling Alley,461.98,2025-08-02T13:34:22.480777,shopping
user_0009,Milkshake Corner,48.79,2025-08-13T06:34:22.480814,food
user_0188,Regional Airlines,76.09,2025-07-05T19:34:22.480852,transport
user_0097,Fresh Choice,702.37,2025-06-30T10:34:22.480890,shopping
user_0173,Star Bazaar,1943.2,2025-07-20T22:34:22.480927,shopping
